multiplier,mode_changed,demand_train,rel_demand_train,demand_car,rel_demand_car,demand_bus,rel_demand_bus,demand_air,rel_demand_air
0.7,air,358.53106689453125,0.5744385123252869,1647.903076171875,0.7501954436302185,10.774832725524902,0.6234390139579773,2306.791259765625,1.552408218383789
0.725,air,375.3199157714844,0.6013376116752625,1692.9508056640625,0.770703136920929,11.283889770507812,0.6528933644294739,2244.445556640625,1.5104511976242065
0.75,air,392.8669738769531,0.6294515132904053,1738.16552734375,0.7912867665290833,11.800374984741211,0.6827775835990906,2181.167236328125,1.4678666591644287
0.7749999999999999,air,411.23175048828125,0.6588755249977112,1783.50439453125,0.8119269609451294,12.32398796081543,0.7130741477012634,2116.940185546875,1.424643635749817
0.7999999999999999,air,430.48199462890625,0.6897182464599609,1828.939208984375,0.8326107859611511,12.854470252990723,0.7437682151794434,2051.724365234375,1.380755066871643
0.825,air,450.6903076171875,0.7220960259437561,1874.458251953125,0.8533329963684082,13.391552925109863,0.7748441696166992,1985.4599609375,1.3361608982086182
0.85,air,471.9317626953125,0.7561290860176086,1920.0653076171875,0.8740952610969543,13.934896469116211,0.8062824010848999,1918.068115234375,1.290808081626892
0.875,air,494.2785949707031,0.7919331789016724,1965.774658203125,0.8949041366577148,14.48401165008545,0.8380545973777771,1849.4625244140625,1.2446383237838745
0.9,air,517.7943115234375,0.8296100497245789,2011.6103515625,0.9157704710960388,15.038212776184082,0.8701210021972656,1779.55712890625,1.1975939273834229
0.925,air,542.5276489257812,0.8692378401756287,2057.598876953125,0.9367064237594604,15.596565246582031,0.9024276733398438,1708.2772216796875,1.1496244668960571
0.95,air,568.5043334960938,0.9108576774597168,2103.76123046875,0.957721471786499,16.157854080200195,0.9349042177200317,1635.5762939453125,1.100698709487915
0.9750000000000001,air,595.7218017578125,0.9544655084609985,2150.10888671875,0.9788208603858948,16.720561981201172,0.9674628376960754,1561.4483642578125,1.0508126020431519
1.0,air,624.1417846679688,1.0,2196.631591796875,1.0,17.28289794921875,1.0,1485.9437255859375,1.0
1.025,air,653.6861572265625,1.0473359823226929,2243.291259765625,1.0212414264678955,17.842788696289062,1.032395601272583,1409.179931640625,0.9483400583267212
1.05,air,684.2339477539062,1.0962796211242676,2290.016845703125,1.0425128936767578,18.397930145263672,1.064516544342041,1331.351318359375,0.8959634900093079
1.075,air,715.62109375,1.1465681791305542,2336.699462890625,1.0637648105621338,18.94580841064453,1.096217155456543,1252.733642578125,0.8430559039115906
1.1,air,747.6417846679688,1.1978716850280762,2383.19287109375,1.084930658340454,19.48375701904297,1.1273431777954102,1173.681396484375,0.7898558974266052
1.125,air,780.0545654296875,1.2498034238815308,2429.316162109375,1.1059279441833496,20.009021759033203,1.1577353477478027,1094.620361328125,0.7366499304771423
1.15,air,812.5888671875,1.3019299507141113,2474.858642578125,1.1266608238220215,20.518808364868164,1.1872318983078003,1016.0336303710938,0.6837632060050964
1.175,air,844.9563598632812,1.3537890911102295,2519.589599609375,1.147024154663086,21.010421752929688,1.21567702293396,938.4434814453125,0.6315470933914185
1.2000000000000002,air,876.8623046875,1.4049087762832642,2563.26513671875,1.1669071912765503,21.481319427490234,1.2429234981536865,862.391357421875,0.5803660750389099
1.225,air,908.0166625976562,1.4548243284225464,2605.639892578125,1.1861979961395264,21.929227828979492,1.268839716911316,788.4141845703125,0.5305814743041992
1.25,air,938.14794921875,1.5031007528305054,2646.4775390625,1.2047889232635498,22.352235794067383,1.2933152914047241,717.0222778320312,0.482536643743515
1.275,air,967.0130615234375,1.5493483543395996,2685.558349609375,1.2225801944732666,22.74885368347168,1.3162637948989868,648.679931640625,0.4365440905094147
1.3,air,994.4048461914062,1.5932354927062988,2722.6884765625,1.2394834756851196,23.11806869506836,1.3376268148422241,583.7886352539062,0.39287397265434265
